id,Found?,old ID,pieces,name,series,artist,imageUrl,boxImageUrl,autoUrl,autoUrl1,autoUrl2
12000071,Yes,,654,Silver,Krypt,,https://ravensburger.cloud/images/produktseiten/820x600/12000071_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000071.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000071.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000071_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000071_2.webp
12000072,Yes,,1000,Exploring the Dales,Leisure Days,,https://ravensburger.cloud/images/produktseiten/820x600/12000072_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000072.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000072_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000072_2.webp
12000073,Yes,,1000,99 Kräuter und Gewürze,,,https://ravensburger.cloud/images/produktseiten/820x600/12000073_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000073.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000073_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000073_2.webp
12000074,Yes,,1000,"Malerische Stimmung im Vallée de la Clarée, Französische Alpen",Power of Nature,,https://ravensburger.cloud/images/produktseiten/820x600/12000074_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000074.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000074_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000074_2.webp
12000075,Yes,,945,Shaped Mickey,,,https://ravensburger.cloud/images/produktseiten/820x600/12000075_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000075.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000075_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000075_2.webp
12000076,Yes,,1000,Calm Campsite,,,https://ravensburger.cloud/images/produktseiten/820x600/12000076_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000076.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000076_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000076_2.webp
12000077,Yes,,500,Kitten,,,https://ravensburger.cloud/images/produktseiten/650x445/12000077_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000077.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000077_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000077_2.webp
12000078,Yes,,1500,Vase of sunflowers,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000078.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000078.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000078_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000078_2.webp
12000079,Yes,,1500,Starry Night,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000079.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000079.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000079_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000079_2.webp
12000080,Yes,,1500,The Kiss,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000080.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000080.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000080_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000080_2.webp
12000081,Yes,,1500,Squares with concentric circles,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000081.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000081.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000081_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000081_2.webp
12000082,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000082.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000082_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000082_2.webp
12000083,Yes,,1000,Vintage No. 9 Crazy Cats Lots in the Post,Vintage,Linda Jane Smith,https://ravensburger.cloud/images/produktseiten/820x600/12000083.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000083.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000083_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000083_2.webp
12000084,Yes,,1000,The Bemused Bookseller,,Steve Read,https://ravensburger.cloud/images/produktseiten/820x600/12000084.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000084.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000084_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000084_2.webp
12000085,Yes,,1000,I Like Birds,Birdie Seasons,Stuart Cox,https://ravensburger.cloud/images/produktseiten/820x600/12000085.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000085.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000085_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000085_2.webp
